name;category;year_published;designer;min_age;average_rating;users_rated;min_players;max_players;publisher
Tal der Könige;Ancient;1992;Christian Beierer;12;6.60675;314;2;4;KOSMOS
Mare Mediterraneum;Civilization;1989;Jean du Poël;12;6.52534;73;2;6;Historien Spiele Galerie (Historien Spielegalerie)
MarraCash;Economic;1996;Stefan Dorra;12;6.84341;877;3;4;KOSMOS
Twilight Imperium;Civilization;1997;Christian T. Petersen;12;6.66812;667;2;6;Fantasy Flight Games
Battlemist;Exploration;1998;Christian T. Petersen;12;5.93231;308;2;6;Fantasy Flight Games
Dragon Masters;Fantasy;1991;Ian Livingstone;12;5.69731;130;2;4;Games Workshop Ltd.
Airlines;Aviation / Flight;1990;Alan R. Moon;12;6.61065;346;2;6;ABACUSSPIELE
Giganten;Economic;1999;Wilko Manz;10;6.75663;1294;3;4;KOSMOS
Vinci;Ancient;1999;Philippe Keyaerts;14;7.13097;3712;3;6;Descartes Editeur
Air Baron;Aviation / Flight;1996;Evan Davis (I);10;6.38664;716;2;6;Avalon Hill
WestFront;Wargame;1992;Craig Besinque;12;6.89085;177;2;2;Columbia Games
Bobby Lee;American Civil War;1993;Tom Dalgliesh;12;6.83287;297;2;2;Columbia Games
Fortress America;Science Fiction;1986;NA;12;6.6939;2144;2;4;Milton Bradley
Detroit-Cleveland Grand Prix;Card Game;1996;Wolfgang Kramer;8;6.7734;1023;2;6;Mayfair Games
Extrablatt;Territory Building;1991;Karl-Heinz Schmiel;14;7.04646;246;3;4;Moskito Spiele
Mit List und Tücke;Card Game;1999;Klaus Palesch;10;6.61422;204;4;6;Berliner Spielkarten
Princess Ryan's Star Marines;Deduction;1997;Mark McLaughlin;10;5.31929;197;1;6;Avalon Hill
Frischfleisch;Exploration;1999;Friedemann Friese;18;6.12852;142;2;6;2F-Spiele
Robin Hood;Card Game;1999;Klaus Palesch;8;5.49324;74;3;6;AMIGO Spiel + Freizeit GmbH
Elfenwizards;Negotiation;1995;Alan R. Moon;10;6.175;104;3;6;White Wind
Die Glücksritter;Bluffing;1999;Klaus Kreowski;8;5.7768;125;3;6;Schmidt Spiele
Piratenbillard;Action / Dexterity;1959;Reinhold Wittig;8;6.56711;336;2;4;ABACUSSPIELE
Union vs. Central;Adventure;1999;Dieter Danziger;12;6.66914;81;2;2;Winsome Games
Before I Kill You, Mister Spy...;Card Game;1996;James Ernest;12;5.40672;1116;3;6;Cheapass Games
Pool Position;Abstract Strategy;1999;Thorsten Gimmler;10;5.78083;120;2;5;F.X. Schmid
Devil Bunny Needs a Ham;Print & Play;1998;James Ernest;8;5.39;680;2;5;Cheapass Games
Die Siedler von Nürnberg;Medieval;1999;Klaus Teuber;10;6.97379;831;3;4;KOSMOS
Dolce Vita;Card Game;1999;Reiner Stockhausen;10;6.15628;183;3;5;Hans im Glück Verlags-GmbH
NASCAR Champions;Dice;1998;Craig Van Ness;8;5.36389;90;2;5;Milton Bradley
Buried Treasure;Card Game;1992;Sid Sackson;10;6.01825;228;2;4;F.X. Schmid
Volle Hütte;Economic;1997;Stefan Dorra;12;6.17719;160;3;5;ASS Altenburger Spielkarten
Merchant of Venus;Economic;1988;Richard Hamblen;12;7.17453;2416;1;6;Avalon Hill
Geronimo;American Indian Wars;1995;Richard H. Berg;12;5.58441;209;1;5;Avalon Hill
Colonial Diplomacy;Bluffing;1994;Peter Hawes;12;6.62425;341;2;7;Avalon Hill
Starship Troopers: Prepare For Battle!;Movies / TV / Radio theme;1997;Ben Knight;10;5.72447;188;2;4;Avalon Hill
Olympia 2000 (v. Chr.);Ancient;1994;Stefan Dorra;9;6.06444;248;2;5;Hans im Glück Verlags-GmbH
Manitou;Card Game;1997;Günter Burkhardt;12;6.11949;331;2;4;Goldsieber Spiele
Cheops;Ancient;1998;Klaus Paal;9;6.19837;246;2;5;Hans im Glück Verlags-GmbH
Guerilla;Card Game;1994;Neal Schlaffer;10;6.25277;361;3;6;Avalon Hill
The Very Clever Pipe Game;Abstract Strategy;1996;James Ernest;10;6.23604;787;2;4;Cheapass Games
Ostindiska Kompaniet;Economic;1991;Dan Glimne;10;4.75;130;2;5;G&RRR
Advanced Third Reich;Wargame;1992;Bruce Harper;12;6.73416;639;2;6;Avalon Hill
Rossyïa 1917;Civil War;1995;François-Stanislas Thomas;0;7.25508;63;2;5;Azure Wish Enterprise (AWE)
Keydom;Bluffing;1998;Richard Breese;10;6.78667;75;2;5;R&D Games
Lang lebe der König;Wargame;1997;Günter Burkhardt;10;5.17768;69;3;5;F.X. Schmid
Candidate;Political;1991;Richard Winter;10;5.53743;169;2;6;Avalon Hill
Santa Fe;Trains;1992;Alan R. Moon;10;6.95543;215;2;5;White Wind
Big Boss;Economic;1994;Wolfgang Kramer;10;7.0836;334;2;6;KOSMOS
Highlanders;Medieval;1993;Reinhard Herbert;12;6.24854;171;3;5;Jumbo
